STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
COY,D,76,INFLOW,19970716 0000,19970717 0000,76,,CFS
COY,D,76,INFLOW,19970717 0000,19970718 0000,79,,CFS
COY,D,76,INFLOW,19970718 0000,19970721 0000,94,,CFS
COY,D,76,INFLOW,19970719 0000,19970721 0000,60,,CFS
COY,D,76,INFLOW,19970720 0000,19970721 0000,80,,CFS
COY,D,76,INFLOW,19970721 0000,19970722 0000,74,,CFS
COY,D,76,INFLOW,19970722 0000,19970723 0000,72,,CFS
COY,D,76,INFLOW,19970723 0000,19970724 0000,48,,CFS
COY,D,76,INFLOW,19970724 0000,19970725 0000,72,,CFS
COY,D,76,INFLOW,19970725 0000,19970728 0000,74,,CFS
COY,D,76,INFLOW,19970726 0000,19970728 0000,75,,CFS
COY,D,76,INFLOW,19970727 0000,19970728 0000,75,,CFS
COY,D,76,INFLOW,19970728 0000,19970729 0000,91,,CFS
COY,D,76,INFLOW,19970729 0000,19970730 0000,90,,CFS
COY,D,76,INFLOW,19970730 0000,19970731 0000,97,,CFS
COY,D,76,INFLOW,19970731 0000,19970801 0000,106,,CFS
COY,D,76,INFLOW,19970801 0000,19970804 0000,123,,CFS
COY,D,76,INFLOW,19970802 0000,19970804 0000,128,,CFS
COY,D,76,INFLOW,19970803 0000,19970804 0000,142,,CFS
COY,D,76,INFLOW,19970804 0000,19970805 0000,141,,CFS
COY,D,76,INFLOW,19970805 0000,19970806 0000,140,,CFS
COY,D,76,INFLOW,19970806 0000,19970807 0000,120,,CFS
COY,D,76,INFLOW,19970807 0000,19970808 0000,106,,CFS
COY,D,76,INFLOW,19970808 0000,19970811 0000,97,,CFS
COY,D,76,INFLOW,19970809 0000,19970811 0000,96,,CFS
COY,D,76,INFLOW,19970810 0000,19970811 0000,106,,CFS
COY,D,76,INFLOW,19970811 0000,19970812 0000,109,,CFS
COY,D,76,INFLOW,19970812 0000,19970813 0000,133,,CFS
COY,D,76,INFLOW,19970813 0000,19970814 0000,122,,CFS
COY,D,76,INFLOW,19970814 0000,19970815 0000,123,,CFS
COY,D,76,INFLOW,19970815 0000,19970818 0000,120,,CFS
COY,D,76,INFLOW,19970816 0000,19970818 0000,102,,CFS
COY,D,76,INFLOW,19970817 0000,19970818 0000,122,,CFS
COY,D,76,INFLOW,19970818 0000,19970819 0000,125,,CFS
COY,D,76,INFLOW,19970819 0000,19970820 0000,134,,CFS
COY,D,76,INFLOW,19970820 0000,19970821 0000,197,,CFS
COY,D,76,INFLOW,19970821 0000,19970822 0000,145,,CFS
COY,D,76,INFLOW,19970822 0000,19970825 0000,149,,CFS
COY,D,76,INFLOW,19970823 0000,19970825 0000,157,,CFS
COY,D,76,INFLOW,19970824 0000,19970825 0000,170,,CFS
COY,D,76,INFLOW,19970825 0000,19970826 0000,158,,CFS
COY,D,76,INFLOW,19970826 0000,19970827 0000,140,,CFS
COY,D,76,INFLOW,19970827 0000,19970828 0000,147,,CFS
COY,D,76,INFLOW,19970828 0000,19970829 0000,159,,CFS
